Time (s),Linear Acceleration x (m/s^2)
7.191433643E0,-1.545190811E-2
7.200441872E0,-2.318429947E-1
7.210851039E0,-2.350616455E-1
7.220380101E0,-4.277839661E-1
7.230672289E0,-4.450068474E-1
7.240247758E0,-5.207371712E-1
7.251429945E0,-7.228882313E-1
7.260145518E0,-7.924575806E-1
7.270528799E0,-8.146436214E-1
7.280040362E0,-8.932412863E-1
7.290381456E0,-7.386345863E-1
7.299990310E0,-4.308090210E-1
7.310281820E0,-3.157527447E-1
7.319813643E0,-2.801477909E-1
7.330198747E0,-2.604649067E-1
7.339707029E0,-1.778016090E-1
7.350038070E0,-8.109307289E-2
7.359648799E0,2.407121658E-2
7.370386664E0,7.886362076E-2
7.379533747E0,1.383218765E-1
7.389990206E0,1.989502907E-1
7.399423435E0,4.291236401E-1
7.409706612E0,4.162211418E-1
7.419275310E0,2.120983601E-1
7.429608904E0,3.022861481E-1
7.439266195E0,1.180422306E-1
7.449656768E0,-1.010315418E-1
7.459066872E0,-1.561908722E-1
7.469386299E0,-1.568820477E-1
7.478931143E0,-1.353306770E-1
7.489305831E0,-1.823740005E-1
7.498805727E0,-2.689025402E-1
7.509329372E0,-3.117117882E-1
7.518757185E0,-2.539741993E-1
7.529045102E0,-2.058877945E-1
7.538616195E0,-1.894388199E-1
7.549390518E0,-1.568412781E-1
7.558492862E0,-1.608111858E-1
7.569006820E0,-1.090769768E-1
7.578366768E0,-9.546756744E-3
7.588728331E0,5.184960365E-2
7.598267133E0,1.117694378E-1
7.608614529E0,-5.068397522E-2
7.618177862E0,3.152227402E-2
7.628706143E0,9.139442444E-2
7.638066612E0,6.183290482E-2
7.648396143E0,9.642910957E-2
7.657962237E0,3.708457947E-2
7.668298070E0,1.143467426E-1
7.677809997E0,6.901335716E-2
7.688343852E0,2.524423599E-2
7.697701091E0,-6.736946106E-2
7.708084893E0,-9.702658653E-2
7.717634633E0,-5.130195618E-2
7.728398852E0,-2.488613129E-2
7.737520779E0,-1.220872402E-1
7.748027393E0,-6.307339668E-2
7.757411873E0,1.567840576E-3
7.767739425E0,8.242297173E-2
7.777300414E0,1.287059784E-1
7.787643643E0,-6.971812248E-2
7.797197706E0,-1.911866665E-1
7.808057810E0,-3.179535866E-1
7.817081820E0,-2.139189243E-1
7.827437081E0,-1.836094856E-1
7.836979008E0,-7.542562485E-2
7.847289373E0,1.412954330E-1
7.856878018E0,9.379005432E-2
